"id","name","code","user_type_id/id","note","chart_template_id/id","nocreate","reconcile"
"chartgr_18_00_09","Συμμετοχέςσελοιπές(πληνΑΕ)επιχειρήσειςεξωτερικού","18.00.09","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_18_00_10","Προεγγραφέςσευπόέκδοσημετοχέςεταιριώνεσωτερικού","18.00.10","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_18_00_11","Προεγγραφέςσευπόέκδοσημετοχέςεταιριώνεξωτερικού","18.00.11","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_18_00_12","Μετοχέςσετρίτουςγιαεγγύηση","18.00.12","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_18_00_99","Προβλέψειςγιαυποτιμήσειςσυμμετοχώνσεσυνδεδεμένεςεπιχειρήσεις","18.00.99","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_18_01_00","ΜετοχέςεισηγμένεςστοΧρηματιστήριοεταιριώνεσωτερικού","18.01.00","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_18_01_01","ΜετοχέςμηεισαγμένεςστοΧρηματιστήριοεταιριώνεσωτερικού","18.01.01","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_18_01_02","ΑνεξόφλητεςμετοχέςεισαγμένεςστοΧρηματιστήριοεταιριώνεσωτερικού","18.01.02","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_18_01_03","ΑνεξόφλητεςμετοχέςμηεισαγμένεςστοΧρηματιστήριοεταιριώνεσωτερικού","18.01.03","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_18_01_04","ΜετοχέςεισαγμένεςστοΧρηματιστήριοεταιριώνεξωτερικού","18.01.04","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
